category,template
station,"reproduce {station}"
station,"sintoniza {station}"
station,"pon {station}"
station,"quero escoitar {station}"
station,"reproduce a radio {{station}}"
station,"transmite {{station}}"
station,"busca {{station}}"
station,"activa {{station}}"
station,"cambia a {{station}}"
station,"podes reproducir {{station}}"
station,"engade á cola {{station}}"
station,"amósame {{station}}"
station,"gustaríame escoitar {{station}}"
station,"retoma {{station}}"
genre,"reproduce radio {{genre}}"
genre,"quero escoitar radio {{genre}}"
genre,"búscame una estación de radio {{genre}}"
genre,"pon algo de radio {{genre}}"
genre,"transmite algo de radio {{genre}}"
genre,"estou de mood para {{genre}}"
genre,"engade á cola {{genre}}"
genre,"amósame estacións de {{genre}}"
genre,"reproduce {{genre}} para min"
genre,"busca una estación de {{genre}}"
genre,"sintoniza radio {{genre}}"
format,"reproduce una estación AM"
format,"quero radio FM"
format,"busca una estación de satélite"
format,"transmite radio por internet"
format,"pon radio en liña"
format,"engade á cola un podcast de radio"
stream,"transmite {{station}}"
stream,"quero transmitir {{station}}"
stream,"busca un stream"
stream,"reproduce un stream en directo"
stream,"engade á cola un stream"
stream,"quero radio en streaming"
mood,"quero música relaxante"
mood,"reproduce algo animado"
mood,"búscame jazz na radio"
mood,"pon música clásica"
mood,"quero música rock"
mood,"reproduce algo chill"
mood,"busca música enerxética"
mood,"quero sons ambientais"
mood,"reproduce talk radio"
mood,"busca radio de noticias"
location,"reproduce radio de {{location}}"
location,"quero una estación de {{location}}"
location,"busca una radio de {{location}}"
location,"amósame radio de {{location}}"
location,"sintoniza {{location}}"
language,"reproduce radio en {{language}}"
language,"quero una estación en {{language}}"
language,"busca una radio en {{language}}"
language,"transmite en {{language}}"
availability,"busca o que está dispoñible agora"
availability,"que podo escoitar"
availability,"amósame as estacións actuais"
availability,"reproduce algo dispoñible"
availability,"engade á cola o que está en cartel"
discovery,"recomendame una estación de radio"
discovery,"sugíreme algo para escoitar"
discovery,"busca novas estacións de radio"
discovery,"que debería sintonizar"
discovery,"amósame estacións en tendencia"
discovery,"sorprendeme con una estación"
discovery,"busca xoias escondidas en radio"
discovery,"que é popular agora"
category,"quero talk radio"
category,"reproduce radio de música"
category,"busca radio de noticias"
category,"transmite radio de deportes"
category,"reproduce radio variedade"
category,"busca radio de comedia"
category,"pon radio educativa"
provider,"busca radio en {{provider}}"
provider,"transmite de {{provider}}"
provider,"amósame estacións de {{provider}}"
provider,"reproduce radio de {{provider}}"
generic,"reproduce a radio"
generic,"activa a radio"
generic,"búscame una estación de radio"
generic,"pon algo de radio"
generic,"transmite radio"
generic,"quero escoitar a radio"
generic,"amósame a radio"
generic,"engade á cola una estación"
generic,"me aburro, reproduce a radio"
generic,"reproduce algo"
